No,long,lat,group,order,region,subregion,WALK,BIKE,CAR,TAXI,BUS,TRAIN,PARA
128,-84.97537231,32.30908966,1,128,alabama,NA,-9,-9,1,-9,-9,-9,-9
129,-84.92380524,32.28044128,1,129,alabama,NA,-9,-9,1,-9,-9,-9,-9
130,-84.90088654,32.25179291,1,130,alabama,NA,-9,-9,1,-9,-9,-9,-9
131,-84.92953491,32.2346077,1,131,alabama,NA,-9,-9,1,-9,-9,-9,-9
132,-84.95245361,32.22887421,1,132,alabama,NA,-9,-9,1,-9,-9,-9,-9
133,-84.96964264,32.20022583,1,133,alabama,NA,-9,-9,1,-9,-9,-9,-9
134,-84.99256134,32.1830368,1,134,alabama,NA,-9,-9,1,-9,-9,-9,-9
135,-85.04985809,32.1601181,1,135,alabama,NA,-9,-9,1,-9,-9,-9,-9
136,-85.06130981,32.12001419,1,136,alabama,NA,-9,-9,1,-9,-9,-9,-9
137,-85.06130981,32.10282516,1,137,alabama,NA,-9,-9,1,-9,-9,-9,-9
138,-85.06130981,32.08563614,1,138,alabama,NA,-9,-9,1,-9,-9,-9,-9
139,-85.06130981,32.06271744,1,139,alabama,NA,-9,-9,1,-9,-9,-9,-9
140,-85.06130981,32.0283432,1,140,alabama,NA,-9,-9,1,-9,-9,-9,-9
141,-85.06130981,31.99396133,1,141,alabama,NA,-9,-9,1,-9,-9,-9,-9
142,-85.07850647,31.95958519,1,142,alabama,NA,-9,-9,1,-9,-9,-9,-9
143,-85.10714722,31.93666649,1,143,alabama,NA,-9,-9,1,-9,-9,-9,-9
144,-85.14152527,31.8679142,1,144,alabama,NA,-9,-9,1,-9,-9,-9,-9
145,-85.13580322,31.78769684,1,145,alabama,NA,-9,-9,1,-9,-9,-9,-9
146,-85.13580322,31.7762394,1,146,alabama,NA,-9,-9,1,-9,-9,-9,-9
147,-85.13007355,31.73040199,1,147,alabama,NA,-9,-9,1,-9,-9,-9,-9
148,-85.11860657,31.68456459,1,148,alabama,NA,-9,-9,1,-9,-9,-9,-9
149,-85.07850647,31.6158123,1,149,alabama,NA,-9,-9,1,-9,-9,-9,-9
150,-85.06130981,31.55851746,1,150,alabama,NA,-9,-9,1,-9,-9,-9,-9
151,-85.06130981,31.5241375,1,151,alabama,NA,-9,-9,1,-9,-9,-9,-9
152,-85.08423615,31.47830009,1,152,alabama,NA,-9,-9,1,-9,-9,-9,-9
153,-85.08423615,31.44392395,1,153,alabama,NA,-9,-9,1,-9,-9,-9,-9
154,-85.0956955,31.40954781,1,154,alabama,NA,-9,-9,1,-9,-9,-9,-9
